Volatility Foundation Volatility Framework 2.6.1
Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffc98693c87040 System                    4      0    156        0 ------      0 2021-12-09 19:43:04 UTC+0000                                 
0xffffc98693cf2080 Registry                 92      4      4        0 ------      0 2021-12-09 19:42:58 UTC+0000                                 
0xffffc98695ebd040 smss.exe                312      4      2        0 ------      0 2021-12-09 19:43:04 UTC+0000                                 
0xffffc986976a0140 csrss.exe               424    416     12        0      0      0 2021-12-09 19:43:04 UTC+0000                                 
0xffffc98697ea3080 wininit.exe             500    416      3        0      0      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc9869722d0c0 csrss.exe               520    492     14        0      1      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc9869729d080 winlogon.exe            608    492      6        0      1      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc98697e5f080 services.exe            644    500      9        0      0      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc98697f260c0 lsass.exe               668    500     12        0      0      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc98697f7e140 fontdrvhost.ex          764    608      5        0      1      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc98697f80140 fontdrvhost.ex          772    500      5        0      0      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc98697f8b240 svchost.exe             780    644     32        0      0      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc986973172c0 svchost.exe             888    644     16        0      0      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc98697364080 dwm.exe                 980    608     17        0      1      0 2021-12-09 19:43:05 UTC+0000                                 
0xffffc986973c4240 svchost.exe             496    644     81        0      0      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc986973cc2c0 svchost.exe             388    644     15        0      0      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc986973ce300 svchost.exe             720    644     25        0      0      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc986973cf080 svchost.exe             956    644      8        0      0      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc986973d0080 svchost.exe             416    644     39        0      0      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc98698617280 svchost.exe            1084    644     21        0      0      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc9869876c2c0 svchost.exe            1404    644     28        0      0      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc98693d6f080 svchost.exe            1468    644      4        0      0      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc98693d20040 MemCompression         1556      4     46        0 ------      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc986987aa300 svchost.exe            1652    644     12        0      0      0 2021-12-09 19:43:06 UTC+0000                                 
0xffffc98698815300 svchost.exe            1744    644      6        0      0      0 2021-12-09 19:43:07 UTC+0000                                 
0xffffc98698819300 svchost.exe            1756    644     14        0      0      0 2021-12-09 19:43:07 UTC+0000                                 
0xffffc98698878240 svchost.exe            1800    644     15        0      0      0 2021-12-09 19:43:07 UTC+0000                                 
0xffffc986988ef240 spoolsv.exe            1924    644      9        0      0      0 2021-12-09 19:43:07 UTC+0000                                 
0xffffc986988fa300 svchost.exe            1952    644     18        0      0      0 2021-12-09 19:43:07 UTC+0000                                 
0xffffc98698a94240 svchost.exe            2180    644     16        0      0      0 2021-12-09 19:43:08 UTC+0000                                 
0xffffc98698b45300 VGAuthService.         2248    644      4        0      0      0 2021-12-09 19:43:08 UTC+0000                                 
